,,,,,,,,,,,,,,
,time,x_state,y_state,vx_state,vx_state,yaw_angle_state,yaw_rate_state,sensor_type,x_measured,y_measured,x_ground_truth,y_ground_truth,vx_ground_truth,vy_ground_truth
0,1.47701E+15,0.783673589,0.727186479,15.63249473,0.005408591,0.000345984,0.006928031,R,0.858931228,0.531354068,0.86,0.6,5.2,0.0018
1,1.47701E+15,1.172499163,0.483524244,9.624571863,-2.179512154,-0.222696897,-2.579629952,L,1.17,0.481,1.12,0.6,5.2,0.00539
2,1.47701E+15,1.02329886,0.548566179,6.730807733,-0.094883373,-0.014095944,2.140674157,R,0.971553225,0.398226482,1.38,0.601,5.2,0.0108
3,1.47701E+15,1.648069476,0.625256225,11.00240034,0.806813003,0.073199615,1.906690288,L,1.65,0.625,1.64,0.601,5.2,0.018
4,1.47701E+15,1.678719701,0.484069503,8.537679948,0.311978495,0.036525116,0.628535783,R,1.625073551,0.499135205,1.9,0.602,5.2,0.0269
5,1.47701E+15,2.189542569,0.647394021,9.843280889,1.424375774,0.143707864,1.505049445,L,2.19,0.649,2.16,0.604,5.2,0.0377
6,1.47701E+15,2.025424086,0.550370629,8.059488759,1.069107727,0.131882092,0.654476044,R,1.962792466,0.555918821,2.42,0.606,5.2,0.0502
7,1.47701E+15,2.65831536,0.666723713,11.52386545,1.382068308,0.119360871,0.128963698,L,2.66,0.666,2.68,0.609,5.19,0.0646
8,1.47701E+15,2.94134546,0.646982804,9.675708641,0.22846114,0.023607439,-1.010107191,R,2.91923255,0.646669405,2.94,0.613,5.19,0.0807
9,1.47701E+15,3.012623128,0.637215037,3.62025615,-0.12921991,-0.035678435,-1.111740772,L,3.01,0.637,3.2,0.617,5.19,0.0985
10,1.47701E+15,3.530521978,0.509420126,4.109960888,-0.61507264,-0.148551676,-1.83147582,R,3.557335779,0.483179217,3.46,0.623,5.19,0.118
11,1.47701E+15,3.889221189,0.314073432,6.461250542,-1.900199351,-0.286027446,-2.362978915,L,3.89,0.312,3.72,0.629,5.19,0.14
12,1.47701E+15,4.238984282,0.637522574,6.376666714,-0.278094299,-0.043583616,1.841314318,R,4.202142194,0.69971493,3.98,0.637,5.19,0.163
13,1.47701E+15,4.311473968,0.580284799,2.684677736,0.019097897,0.007113545,1.366122858,L,4.31,0.579,4.24,0.645,5.18,0.188
14,1.47701E+15,4.607182402,0.676960586,3.220166007,0.297978396,0.092272334,1.555991262,R,4.61894745,0.688639567,4.5,0.655,5.18,0.214
15,1.47701E+15,4.353430001,0.894624381,-2.0429621,-0.54391679,0.260203351,2.601979463,L,4.35,0.899,4.75,0.667,5.18,0.243
16,1.47701E+15,5.131686336,0.740933779,-0.366174738,-0.195373655,0.490128385,3.737395973,R,5.207718251,0.66495911,5.01,0.68,5.17,0.273
17,1.47701E+15,5.513654343,0.651869783,2.308899826,1.916065553,0.692685434,3.919502802,L,5.52,0.648,5.27,0.694,5.17,0.304
18,1.47701E+15,5.256492883,0.672859482,2.449536633,3.045803483,0.89347942,3.884291051,R,5.230829281,0.641346267,5.53,0.71,5.16,0.338
19,1.47701E+15,6.001669,0.714790704,4.347458842,3.733042437,0.709507279,-0.497140253,L,6.02,0.709,5.79,0.728,5.16,0.373
20,1.47701E+15,5.939454843,0.483846414,5.083097044,2.382973351,0.438380367,-3.509439491,R,5.898163593,0.373853218,6.05,0.748,5.15,0.41
21,1.47701E+15,6.339739373,0.945830304,9.098435229,3.332443175,0.351091148,-2.488389879,L,6.34,0.949,6.3,0.769,5.15,0.448
22,1.47701E+15,6.630223361,0.905720267,8.971422185,-0.033086965,-0.003688023,-5.162284858,R,6.617123551,0.838198013,6.56,0.793,5.14,0.488
